優先,ファイル名,人物,カード名,勢力,勢力色,兵種,役割,コスト,武勇,知略,必殺技,台詞,装いの手掛かり,気配の手掛かり
3,袁紹.png,袁紹,袁紹〔盟主〕,群雄,#8a7640 黄土,弓兵,支援,10,55,70,反董卓連合,四世三公の名にかけて！,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,諸葛亮.png,諸葛亮,諸葛亮〔臥龍〕,蜀,#47825a 緑,弓兵,支援,10,38,100,東南の風,万事、計のうちにございます。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,関羽.png,関羽,関羽〔漢寿亭侯〕,蜀,#47825a 緑,騎兵,均衡,10,97,79,青龍偃月,この髭面、覚えておくがいい！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
3,陸抗.png,陸抗,陸抗〔羊陸之交〕,呉,#a04343 朱赤,歩兵,耐久,10,68,85,西陵の堅塁,守りて、後に勝つ。,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,劉備.png,劉備,劉備〔徳将〕,蜀,#47825a 緑,歩兵,耐久,9,73,75,仁徳,民を守れぬ戦に、勝ちなどない！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,夏侯惇.png,夏侯惇,夏侯惇〔独眼〕,魏,#46689c 藍,歩兵,耐久,9,90,58,抜矢啖睛,父母より受けし目、捨てるには惜しいわ！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,太史慈.png,太史慈,太史慈〔神射〕,呉,#a04343 朱赤,弓兵,火力,9,93,66,神射,丈夫たる者、三尺の剣を帯びて天子に昇るべし！,弓か弩を携える。軽装で身軽、遠くを見る目,攻めの気迫。得物を構え、前へ出る姿勢
3,孟獲.png,孟獲,孟獲〔南蛮王〕,群雄,#8a7640 黄土,歩兵,耐久,9,85,35,蛮兵の猛進,七たび捕えられようと、わしは屈せぬ！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,曹丕.png,曹丕,曹丕〔文帝〕,魏,#46689c 藍,弓兵,支援,9,45,80,九錫の詔,文をもって世を定める。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,董卓.png,董卓,董卓〔暴虐〕,群雄,#8a7640 黄土,歩兵,耐久,9,85,72,暴威,逆らう者は焼き尽くせ！　洛陽の炎を忘れたか！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,諸葛恪.png,諸葛恪,諸葛恪〔元遜〕,呉,#a04343 朱赤,弓兵,瞬発,9,40,86,東興の奇策,この才気、天下に鳴らしてみせよう。,弓か弩を携える。軽装で身軽、遠くを見る目,踏み込む直前の緊張。体をひねり、視線は鋭く
3,趙雲.png,趙雲,趙雲〔長坂坡〕,蜀,#47825a 緑,騎兵,火力,9,96,76,単騎突入,子龍の一身、すべて胆なり！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
3,馬超.png,馬超,馬超〔錦馬超〕,蜀,#47825a 緑,騎兵,火力,9,95,52,西涼の驍将,錦馬超の名、西涼の風とともに参る！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
3,龐徳.png,龐徳,龐徳〔白馬〕,魏,#46689c 藍,騎兵,火力,9,90,55,抬櫬の決戦,棺を担いででも、貴様と戦おう！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
3,公孫瓚.png,公孫瓚,公孫瓚〔白馬義従〕,群雄,#8a7640 黄土,騎兵,瞬発,8,80,50,白馬義従,白馬の誓い、破られはせぬ！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,踏み込む直前の緊張。体をひねり、視線は鋭く
3,夏侯霸.png,夏侯霸,夏侯霸〔帰蜀〕,蜀,#47825a 緑,騎兵,均衡,8,75,60,陰平の先導,故国を離れても、この武は変わらぬ。,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
3,姜維.png,姜維,姜維〔幼麟〕,蜀,#47825a 緑,騎兵,均衡,8,89,90,九伐中原,丞相の遺志、この姜維が継ぐ！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
3,張郃.png,張郃,張郃〔巧変〕,魏,#46689c 藍,歩兵,均衡,8,89,69,巧変,変化こそ兵の常。読めるかな？,徒歩の重装。長柄か大刀、厚い胴鎧,隙のない構え。攻守どちらにも見える自然体
3,徐晃.png,徐晃,徐晃〔長駆〕,魏,#46689c 藍,歩兵・槍持ち,均衡,8,90,68,長駆直入,周亜夫の風、ここに再び！,徒歩の重装。長柄か大刀、厚い胴鎧,隙のない構え。攻守どちらにも見える自然体
3,曹彰.png,曹彰,曹彰〔黄鬚〕,魏,#46689c 藍,騎兵,火力,8,88,30,黄鬚の突貫,鬚は黄なれど、心は猛虎よ！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
3,甘寧.png,甘寧,甘寧〔錦帆賊〕,呉,#a04343 朱赤,騎兵,瞬発,8,94,55,百騎劫営,鈴の音が聞こえたら、もう遅いぜ！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,踏み込む直前の緊張。体をひねり、視線は鋭く
3,祝融.png,祝融,祝融〔火神〕,群雄,#8a7640 黄土,弓兵,火力,8,78,45,火神の飛刀,南蛮の火は、誰にも消せぬ！,弓か弩を携える。軽装で身軽、遠くを見る目,攻めの気迫。得物を構え、前へ出る姿勢
3,許褚.png,許褚,許褚〔虎痴〕,魏,#46689c 藍,歩兵,耐久,8,96,36,虎痴,虎痴の力、見せてやろう！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,黄忠.png,黄忠,黄忠〔定軍山〕,蜀,#47825a 緑,弓兵,瞬発,8,93,60,百歩穿楊,老いてなお、弓は百歩の柳を穿つ！,弓か弩を携える。軽装で身軽、遠くを見る目,踏み込む直前の緊張。体をひねり、視線は鋭く
3,于禁.png,于禁,于禁〔毅重〕,魏,#46689c 藍,歩兵,耐久,7,80,66,毅重,軍律は山よりも重い。乱すな。,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,典韋.png,典韋,典韋〔古之悪来〕,魏,#46689c 藍,歩兵,耐久,7,95,30,悪来,古之悪来、主君の盾とならん！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,凌統.png,凌統,凌統〔断金〕,呉,#a04343 朱赤,歩兵,火力,7,85,62,断金の交,父の仇はさておき……いや、やはりさておけん！,徒歩の重装。長柄か大刀、厚い胴鎧,攻めの気迫。得物を構え、前へ出る姿勢
3,曹真.png,曹真,曹真〔大司馬〕,魏,#46689c 藍,歩兵,耐久,7,70,65,中軍の構え,大司馬の名は、伊達ではない。,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,朱桓.png,朱桓,朱桓〔濡須〕,呉,#a04343 朱赤,歩兵,均衡,7,72,60,濡須の返し矢,敵の胆を、この手で冷やしてやろう。,徒歩の重装。長柄か大刀、厚い胴鎧,隙のない構え。攻守どちらにも見える自然体
3,田豊.png,田豊,田豊〔剛直〕,群雄,#8a7640 黄土,弓兵,支援,7,25,87,剛直の諫言,聞き入れられぬ諫言こそ、真の諫言よ。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,貂蝉.png,貂蝉,貂蝉〔傾国〕,群雄,#8a7640 黄土,弓兵,支援,7,15,82,傾国の舞,殿方の心は、月よりも移ろいやすいのですね…,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,郭嘉.png,郭嘉,郭嘉〔鬼才〕,魏,#46689c 藍,弓兵,支援,7,15,98,十勝十敗,十勝十敗、すでに数え終えている。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,顔良.png,顔良,顔良〔河北の驍〕,群雄,#8a7640 黄土,騎兵,瞬発,7,93,41,河北の驍将,河北の武、見せてくれるわ！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,踏み込む直前の緊張。体をひねり、視線は鋭く
3,魏延.png,魏延,魏延〔子午〕,蜀,#47825a 緑,騎兵,火力,7,92,69,子午の奇襲,子午谷を抜ける策、今こそ見せる！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
3,魯粛.png,魯粛,魯粛〔塌上策〕,呉,#a04343 朱赤,弓兵,支援,7,56,92,塌上の策,天下二分の計、すでに描いてございます。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,龐統.png,龐統,龐統〔鳳雛〕,蜀,#47825a 緑,弓兵,支援,7,34,97,鳳雛の献策,鳳雛の羽ばたき、伏龍に劣らず。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,夏侯淵.png,夏侯淵,夏侯淵〔神速〕,魏,#46689c 藍,騎兵,火力,6,91,57,神速,三日で五百里、六日で千里！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
3,孫尚香.png,孫尚香,孫尚香〔弓腰姫〕,呉,#a04343 朱赤,弓兵,瞬発,6,74,58,弓腰姫の狙撃,弓はわたしの嫁入り道具よ！,弓か弩を携える。軽装で身軽、遠くを見る目,踏み込む直前の緊張。体をひねり、視線は鋭く
3,文醜.png,文醜,文醜〔河北の勇〕,群雄,#8a7640 黄土,騎兵,均衡,6,93,35,河北の勇,顔良の分まで暴れてくれる！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
3,法正.png,法正,法正〔翼侯〕,蜀,#47825a 緑,弓兵,支援,6,48,94,献策,恩は必ず返す。仇もまた必ず返す。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,程普.png,程普,程普〔老練〕,呉,#a04343 朱赤,歩兵・槍持ち,耐久,6,79,77,老練,三代に仕えた槍、錆びてはおらん！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,荀彧.png,荀彧,荀彧〔王佐〕,魏,#46689c 藍,弓兵,支援,6,14,95,王佐の才,王佐の才、乱世にこそ光る。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,費禕.png,費禕,費禕〔大将軍〕,蜀,#47825a 緑,弓兵,支援,6,35,80,漢中の督軍,笑談のうちに、事は定まるものだ。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,郝昭.png,郝昭,郝昭〔陳倉〕,魏,#46689c 藍,歩兵,耐久,6,68,62,陳倉の火矢,陳倉は落ちぬ。幾万で来ようともだ。,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,鄧艾.png,鄧艾,鄧艾〔陰平〕,魏,#46689c 藍,歩兵,均衡,6,84,91,陰平越え,道なき道こそ、我が道よ。,徒歩の重装。長柄か大刀、厚い胴鎧,隙のない構え。攻守どちらにも見える自然体
3,朱然.png,朱然,朱然〔江陵〕,呉,#a04343 朱赤,歩兵,耐久,5,74,70,江陵の守,江陵を守り抜いた夜を思えば、何ほどのこと！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,李典.png,李典,李典〔慎重〕,魏,#46689c 藍,弓兵,火力,5,75,78,斉射,功を焦るな。それが長生きの秘訣だ。,弓か弩を携える。軽装で身軽、遠くを見る目,攻めの気迫。得物を構え、前へ出る姿勢
3,華雄.png,華雄,華雄〔汜水関〕,群雄,#8a7640 黄土,歩兵,火力,5,82,25,汜水関の大刀,関の前に立つ者、皆斬る！,徒歩の重装。長柄か大刀、厚い胴鎧,攻めの気迫。得物を構え、前へ出る姿勢
3,賀斉.png,賀斉,賀斉〔山越討伐〕,呉,#a04343 朱赤,歩兵,均衡,5,70,55,山越討伐,山越の乱は、この賀斉が鎮める。,徒歩の重装。長柄か大刀、厚い胴鎧,隙のない構え。攻守どちらにも見える自然体
3,賈詡.png,賈詡,賈詡〔毒士〕,魏,#46689c 藍,弓兵,支援,5,47,97,離間の計,謀とは、毒と知って飲ませるもの。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,鍾会.png,鍾会,鍾会〔士季〕,魏,#46689c 藍,騎兵,均衡,5,70,92,士季の計,才は野心のためにある。,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
3,馬謖.png,馬謖,馬謖〔幼常〕,蜀,#47825a 緑,弓兵,均衡,5,52,87,街亭,街亭の轍は二度と踏まん！,弓か弩を携える。軽装で身軽、遠くを見る目,隙のない構え。攻守どちらにも見える自然体
3,王允.png,王允,王允〔連環計〕,群雄,#8a7640 黄土,弓兵,支援,4,18,80,誅董の密詔,老臣、一命を賭して国賊を除かん。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,王双.png,王双,王双〔大刀〕,魏,#46689c 藍,騎兵,火力,4,78,20,大刀一閃,我が大刀に敵う者なし！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
3,蒋欽.png,蒋欽,蒋欽〔射術〕,呉,#a04343 朱赤,弓兵,火力,4,68,52,沓中の斉射,百歩先の的とて、外さぬ。,弓か弩を携える。軽装で身軽、遠くを見る目,攻めの気迫。得物を構え、前へ出る姿勢
3,郭淮.png,郭淮,郭淮〔雍涼〕,魏,#46689c 藍,騎兵,均衡,4,76,84,雍涼の備,雍涼の地は一歩も譲らん。,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
